_c0,i_S,i_tot_S,i_V,i_tot_V,i_C,i_tot_C,i_ER,i_M1,i_M2,i_M3,i_M4,i_M5,i_M6,i_M7,i_e1,i_e2,i_e3,i_e4,i_e5,i_e6,i_e7,i_e8,i_e9,i_e10,i_e11
0,0.43,546.5,0.52,1.25,0.28,0.99,0.35,1.33,1.0,18.75,0.38,0.0,0.0,1.33,0.2,0.2,0.25,0.25,16.67,0.17,0.17,37.5,50.0,62.5,62.5
1,0.4,498.0,0.34,0.75,0.14,0.0,0.35,0.6,0.2,31.25,0.33,50.0,100.0,1.0,0.2,0.4,0.0,1.0,66.67,0.33,0.17,0.0,37.5,200.0,200.0
2,0.37,996.0,0.18,0.25,0.29,0.0,0.0,0.2,0.33,31.25,0.08,0.0,0.0,0.1,0.2,0.2,0.0,0.0,11.11,0.17,0.17,25.0,0.0,100.0,100.0
3,0.33,224.0,0.16,0.25,0.29,0.0,0.4,1.67,1.0,18.75,0.02,50.0,0.0,1.33,0.2,0.2,0.0,1.0,66.67,0.33,0.17,0.0,0.0,200.0,200.0
4,0.32,231.67,0.0,0.0,0.14,0.0,0.0,0.4,1.0,31.25,0.03,0.0,25.0,0.5,0.2,0.2,0.0,0.0,66.67,0.17,0.17,0.0,0.0,87.5,87.5
5,0.39,297.33,0.0,0.0,0.43,0.0,0.0,0.2,0.2,31.25,0.05,0.0,0.0,1.0,0.2,0.2,0.5,0.5,0.0,0.17,0.33,0.0,0.0,0.0,0.0
6,0.59,1121.25,0.43,1.0,0.43,0.0,0.35,0.2,0.2,31.25,0.05,0.0,25.0,1.0,0.2,0.2,0.0,0.0,16.67,0.17,0.33,50.0,0.0,200.0,200.0
7,0.28,124.5,0.09,0.12,0.43,0.49,0.0,0.33,0.33,18.75,0.05,0.0,0.0,2.0,0.2,0.2,0.0,0.0,33.33,0.33,0.33,0.0,0.0,0.0,0.0
8,0.46,365.67,0.36,0.5,0.57,0.33,0.0,0.2,0.2,31.25,0.08,0.0,0.0,0.75,0.2,0.4,0.0,0.25,0.0,0.33,0.17,12.5,0.0,100.0,100.0
9,0.4,1095.0,0.55,0.75,0.71,0.66,0.0,0.2,0.5,31.25,0.08,0.0,0.0,0.75,0.2,0.4,0.75,0.25,50.0,0.33,0.33,25.0,25.0,150.0,150.0
10,0.39,298.67,0.34,0.75,0.71,0.25,0.3,0.8,0.2,31.25,0.08,0.0,75.0,0.5,0.2,0.2,1.0,0.0,44.44,0.17,0.17,62.5,50.0,75.0,75.0
11,0.32,523.5,0.43,1.0,0.57,0.0,0.4,0.2,0.33,31.25,0.03,0.0,0.0,1.0,0.2,0.2,0.0,0.0,50.0,0.17,0.17,37.5,37.5,200.0,200.0
12,0.52,432.0,0.18,0.25,0.57,0.99,0.2,0.2,0.5,31.25,0.03,25.0,0.0,1.0,0.2,0.6,0.75,0.75,33.33,0.5,0.67,100.0,50.0,200.0,200.0
13,0.46,365.67,0.27,0.38,0.85,0.49,0.55,0.4,0.5,31.25,0.09,0.0,0.0,1.0,0.2,0.2,0.0,0.25,16.67,0.33,0.5,62.5,87.5,200.0,200.0
14,0.17,249.0,0.36,0.5,0.57,0.0,0.0,0.25,0.2,25.0,0.08,0.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.33,0.17,0.0,0.0,37.5,37.5
15,0.32,87.12,0.18,0.25,0.29,0.0,0.0,0.2,0.5,31.25,0.08,0.0,25.0,0.5,0.2,0.2,0.0,0.0,11.11,0.33,0.17,37.5,50.0,100.0,100.0
16,0.62,747.0,0.25,0.5,0.71,0.66,0.45,0.25,1.0,25.0,0.02,0.0,25.0,1.0,0.8,0.8,0.5,0.5,16.67,0.33,0.33,50.0,0.0,50.0,50.0
17,0.49,894.0,0.5,1.5,0.85,0.49,0.9,1.25,0.4,25.0,0.05,0.0,25.0,1.0,0.6,0.6,0.0,0.0,44.44,0.33,0.33,37.5,37.5,200.0,200.0
18,0.33,893.0,0.55,0.75,0.43,0.49,0.2,0.4,0.67,31.25,0.14,25.0,0.0,0.5,0.2,0.2,0.0,0.0,66.67,0.67,0.5,37.5,0.0,175.0,175.0
19,0.38,398.5,0.18,0.25,0.14,0.0,0.15,0.2,0.5,31.25,0.03,0.0,0.0,1.0,0.6,0.2,0.25,0.0,33.33,0.33,0.33,0.0,0.0,100.0,100.0
20,0.5,647.5,0.61,1.5,0.29,0.0,0.0,1.25,1.0,25.0,0.05,0.0,75.0,1.0,0.4,0.6,0.0,0.75,33.33,0.33,0.33,12.5,12.5,100.0,100.0
21,0.3,797.0,0.45,0.62,0.14,0.0,0.0,0.25,1.0,25.0,0.08,0.0,25.0,1.0,0.4,0.2,0.5,0.25,33.33,0.33,0.33,62.5,62.5,175.0,175.0
22,0.69,848.5,0.41,1.12,0.57,0.33,0.6,1.0,1.0,31.25,0.05,50.0,25.0,1.0,0.2,0.2,2.0,2.0,33.33,0.67,0.83,200.0,200.0,200.0,200.0
23,0.55,648.0,0.18,0.25,0.71,0.25,0.0,1.0,0.4,31.25,0.05,0.0,100.0,1.0,0.2,0.2,0.0,0.25,50.0,0.5,0.33,50.0,50.0,100.0,100.0
24,0.19,199.0,0.0,0.0,0.14,0.0,0.05,0.25,0.6,25.0,0.03,0.0,0.0,0.1,0.2,0.2,0.0,0.5,33.33,0.17,0.17,0.0,0.0,75.0,75.0
25,0.27,398.0,0.07,0.0,0.0,0.0,0.25,0.6,0.2,31.25,0.02,0.0,100.0,1.0,0.2,0.2,0.75,1.0,0.0,0.17,0.17,0.0,0.0,150.0,150.0
26,0.57,747.5,0.43,1.0,0.71,0.66,0.5,1.0,0.4,31.25,0.06,25.0,50.0,0.67,0.2,0.2,0.5,0.5,33.33,0.5,0.5,137.5,100.0,175.0,175.0
27,0.46,823.5,0.23,0.38,0.29,0.0,0.5,1.0,1.0,18.75,0.08,50.0,100.0,1.0,0.2,1.0,0.0,3.75,33.33,0.17,0.5,0.0,0.0,150.0,150.0
28,0.37,996.0,0.14,0.0,0.29,0.0,0.35,1.25,1.0,25.0,0.03,0.0,75.0,1.0,0.2,0.2,0.0,0.75,16.67,0.17,0.17,12.5,0.0,0.0,0.0
29,0.4,272.75,0.5,1.5,0.43,0.0,0.35,0.2,0.2,31.25,0.06,0.0,75.0,0.5,0.2,0.2,0.0,0.0,33.33,0.17,0.33,0.0,150.0,25.0,25.0
30,0.34,173.75,0.14,0.0,0.43,0.0,0.0,0.2,0.33,31.25,0.05,0.0,25.0,1.0,0.2,0.2,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0
31,0.34,697.0,0.27,0.38,0.43,0.0,0.45,0.25,1.0,25.0,0.02,50.0,75.0,1.0,0.2,1.0,0.75,0.75,0.0,0.17,0.33,25.0,125.0,112.5,112.5
32,0.43,1641.0,0.45,0.62,0.57,0.99,0.35,0.2,1.0,31.25,0.03,50.0,100.0,2.0,0.4,0.6,1.0,0.0,33.33,0.5,0.33,100.0,0.0,150.0,150.0
33,0.44,299.75,0.61,1.5,0.85,0.49,0.8,0.2,0.6,31.25,0.05,0.0,50.0,1.0,0.4,0.4,0.0,0.75,33.33,0.5,0.33,150.0,150.0,200.0,200.0
34,0.55,645.5,0.34,0.75,0.71,0.66,0.2,0.8,0.6,31.25,0.09,50.0,25.0,1.33,0.2,0.2,1.0,0.5,16.67,0.5,0.17,75.0,50.0,162.5,162.5
35,0.61,423.75,0.5,1.5,0.29,0.0,0.25,0.2,0.75,31.25,0.04,25.0,0.0,1.0,0.2,0.4,0.5,0.5,16.67,0.5,0.17,100.0,62.5,162.5,162.5
36,0.47,1295.0,0.16,0.25,0.43,0.0,0.0,0.6,0.4,31.25,0.03,0.0,0.0,1.0,0.2,0.4,0.75,0.0,66.67,0.17,0.17,50.0,12.5,187.5,187.5
37,0.54,796.0,0.27,0.38,0.71,0.66,0.1,0.2,0.6,31.25,0.03,0.0,0.0,1.0,0.2,0.2,0.5,0.0,50.0,0.33,0.17,112.5,75.0,150.0,150.0
38,0.21,299.0,0.27,0.38,0.0,0.0,0.4,1.0,1.0,31.25,0.25,25.0,100.0,0.2,0.2,0.4,0.0,0.5,0.0,0.17,0.33,25.0,50.0,200.0,200.0
39,0.0,0.0,0.18,0.25,0.29,0.0,0.0,0.6,0.4,31.25,0.05,0.0,0.0,1.33,0.2,0.2,0.0,0.0,33.33,0.33,0.17,37.5,37.5,0.0,0.0
40,0.29,116.0,0.18,0.25,0.0,0.0,0.0,0.6,0.8,31.25,0.33,0.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.33,0.33,0.0,75.0,75.0,75.0
41,0.22,83.0,0.18,0.25,0.57,0.0,0.0,0.8,1.0,31.25,0.03,0.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,0.33,0.33,62.5,62.5,0.0,0.0
42,0.16,99.0,0.45,0.62,0.43,0.49,0.45,0.2,0.5,31.25,0.33,0.0,25.0,0.75,0.2,0.2,0.75,0.0,66.67,0.17,0.17,200.0,137.5,150.0,150.0
43,0.44,179.2,0.18,0.25,0.57,0.33,0.25,0.25,1.0,25.0,0.08,50.0,25.0,0.2,0.2,0.2,0.25,0.25,33.33,0.33,0.5,50.0,62.5,187.5,187.5
44,0.3,199.25,0.09,0.12,0.29,0.0,0.25,1.0,0.33,6.25,0.25,25.0,25.0,0.2,0.2,0.2,0.0,0.0,16.67,0.17,0.17,100.0,50.0,62.5,62.5
45,0.21,132.0,0.0,0.0,0.57,0.99,0.0,0.2,1.0,31.25,0.14,50.0,25.0,1.5,0.2,0.2,0.5,0.25,66.67,0.17,0.17,50.0,75.0,25.0,25.0
46,0.4,1098.0,0.18,0.25,0.57,0.99,0.2,0.4,0.5,31.25,0.03,0.0,0.0,1.0,0.2,0.2,0.0,0.25,33.33,0.67,0.33,0.0,0.0,0.0,0.0
47,0.37,995.0,0.82,3.75,1.0,0.75,0.0,0.8,0.4,31.25,0.25,0.0,25.0,0.2,0.2,0.6,0.75,0.25,16.67,0.17,0.33,112.5,37.5,175.0,175.0
48,0.44,1197.0,0.61,1.5,0.85,0.49,0.6,0.5,0.5,25.0,0.25,50.0,25.0,1.33,0.2,0.2,0.75,0.0,16.67,0.33,0.17,187.5,175.0,175.0,175.0
49,0.62,747.0,0.0,0.0,0.43,0.0,0.3,1.0,0.5,31.25,0.05,0.0,0.0,1.0,0.2,0.2,0.0,0.0,66.67,0.17,0.17,0.0,0.0,0.0,0.0
50,0.23,149.25,0.34,0.75,0.71,1.5,0.4,0.2,1.0,31.25,0.12,25.0,75.0,1.0,0.2,0.6,0.0,0.25,16.67,0.17,0.33,12.5,50.0,12.5,12.5
51,0.22,248.0,0.36,0.5,0.71,0.25,0.1,0.5,0.5,12.5,0.08,0.0,0.0,0.2,0.4,0.8,0.25,0.25,44.44,0.5,1.0,200.0,150.0,200.0,200.0
